Date,Open
04-01-2012,410
05-01-2012,414.95
06-01-2012,419.77
09-01-2012,425.5001
10-01-2012,425.9101
11-01-2012,422.68
12-01-2012,422.28
13-01-2012,419.7
17-01-2012,424.2
18-01-2012,426.96
19-01-2012,430.15
20-01-2012,427.49
23-01-2012,422.67
24-01-2012,425.1001
25-01-2012,454.44
26-01-2012,448.36
27-01-2012,444.34
30-01-2012,445.71
31-01-2012,455.59
01-02-2012,458.41
02-02-2012,455.9
03-02-2012,457.3
06-02-2012,458.38
07-02-2012,465.25
08-02-2012,470.5
09-02-2012,480.76
10-02-2012,490.96
13-02-2012,499.53
14-02-2012,504.66
15-02-2012,514.26
16-02-2012,491.5
17-02-2012,503.11
21-02-2012,506.88
22-02-2012,513.08
23-02-2012,514.54
24-02-2012,519.67
27-02-2012,521.31
28-02-2012,527.96
29-02-2012,541.56
01-03-2012,548.17
02-03-2012,544.24
05-03-2012,545.42
06-03-2012,523.66
07-03-2012,536.8
08-03-2012,534.69
09-03-2012,544.21
12-03-2012,548.982
13-03-2012,557.54
14-03-2012,578.05
15-03-2012,599.61
16-03-2012,584.72
19-03-2012,598.37
20-03-2012,599.51
21-03-2012,602.74
22-03-2012,597.78
23-03-2012,600.49
26-03-2012,599.79
27-03-2012,606.18
28-03-2012,618.38
29-03-2012,612.78
30-03-2012,608.77
02-04-2012,601.83
03-04-2012,627.3
04-04-2012,624.35
05-04-2012,626.98
09-04-2012,626.13
10-04-2012,639.93
11-04-2012,636.2
12-04-2012,625
13-04-2012,624.11
16-04-2012,610.06
17-04-2012,578.94
18-04-2012,613.72
19-04-2012,600.22
20-04-2012,591.38
23-04-2012,570.61
24-04-2012,562.61
25-04-2012,615.635
26-04-2012,614.27
27-04-2012,605.07
30-04-2012,597.8
01-05-2012,584.9
02-05-2012,580.24
03-05-2012,590.5
04-05-2012,577.08
07-05-2012,561.5
08-05-2012,569.58
09-05-2012,563.7
10-05-2012,574.58
11-05-2012,565
14-05-2012,562.57
15-05-2012,561.45
16-05-2012,554.05
17-05-2012,545.31
18-05-2012,533.96
21-05-2012,534.5
22-05-2012,569.55
23-05-2012,557.5
24-05-2012,575.87
25-05-2012,564.59
29-05-2012,570.9
30-05-2012,569.2
31-05-2012,580.74
01-06-2012,569.16
04-06-2012,561.5
05-06-2012,561.27
06-06-2012,567.77
07-06-2012,577.29
08-06-2012,571.6
11-06-2012,587.72
12-06-2012,574.46
13-06-2012,574.52
14-06-2012,571.24
15-06-2012,571
18-06-2012,570.96
19-06-2012,583.4
20-06-2012,588.21
21-06-2012,585.44
22-06-2012,579.04
25-06-2012,577.3
26-06-2012,571.33
27-06-2012,575
28-06-2012,571.67
29-06-2012,578
02-07-2012,584.73
03-07-2012,594.88
05-07-2012,600.56
06-07-2012,607.09
09-07-2012,605.3
10-07-2012,617.97
11-07-2012,606.12
12-07-2012,600.24
13-07-2012,602.95
16-07-2012,605.12
17-07-2012,610.79
18-07-2012,606.59
19-07-2012,611.28
20-07-2012,613.03
23-07-2012,594.4
24-07-2012,607.38
25-07-2012,574.46
26-07-2012,579.76
27-07-2012,575.01
30-07-2012,590.92
31-07-2012,603.23
01-08-2012,615.905
02-08-2012,602.84
03-08-2012,613.63
06-08-2012,617.29
07-08-2012,622.77
08-08-2012,619.39
09-08-2012,617.85
10-08-2012,618.71
13-08-2012,623.39
14-08-2012,631.87
15-08-2012,631.3
16-08-2012,631.21
17-08-2012,640
20-08-2012,650.01
21-08-2012,670.82
22-08-2012,654.42
23-08-2012,666.11
24-08-2012,659.51
27-08-2012,679.99
28-08-2012,674.9773
29-08-2012,675.25
30-08-2012,670.64
31-08-2012,667.25
04-09-2012,665.76
05-09-2012,675.57
06-09-2012,673.17
07-09-2012,678.05
10-09-2012,680.45
11-09-2012,665.11
12-09-2012,666.85
13-09-2012,677.37
14-09-2012,689.955
17-09-2012,699.35
18-09-2012,699.88
19-09-2012,700.26
20-09-2012,699.16
21-09-2012,702.41
24-09-2012,686.86
25-09-2012,688.26
26-09-2012,668.74
27-09-2012,664.29
28-09-2012,678.75
01-10-2012,671.5
02-10-2012,661.81
03-10-2012,664.86
04-10-2012,671.25
05-10-2012,665.2
08-10-2012,646.88
09-10-2012,638.65
10-10-2012,639.74
11-10-2012,646.5
12-10-2012,629.56
15-10-2012,632.35
16-10-2012,635.34
17-10-2012,648.87
18-10-2012,639.59
19-10-2012,631.05
22-10-2012,612.42
23-10-2012,631
24-10-2012,621.44
25-10-2012,620
26-10-2012,609.43
31-10-2012,594.88
01-11-2012,598.22
02-11-2012,595.89
05-11-2012,583.515
06-11-2012,590.23
07-11-2012,573.835
08-11-2012,560.63
09-11-2012,540.42
12-11-2012,554.15
13-11-2012,538.91
14-11-2012,545.5
15-11-2012,537.53
16-11-2012,525.2
19-11-2012,540.7097
20-11-2012,571.91
21-11-2012,564.25
23-11-2012,567.17
26-11-2012,575.9
27-11-2012,589.55
28-11-2012,577.27
29-11-2012,590.215
30-11-2012,586.79
03-12-2012,593.65
04-12-2012,581.8
05-12-2012,568.91
06-12-2012,528.94
07-12-2012,553.4
10-12-2012,525
11-12-2012,539.77
12-12-2012,547.77
13-12-2012,531.15
14-12-2012,514.75
17-12-2012,508.93
18-12-2012,525
19-12-2012,531.47
20-12-2012,530
21-12-2012,512.47
24-12-2012,520.35
26-12-2012,519
27-12-2012,513.54
28-12-2012,510.29
31-12-2012,510.53
02-01-2013,553.82
03-01-2013,547.88
04-01-2013,536.965
07-01-2013,522
08-01-2013,529.21
09-01-2013,522.5
10-01-2013,528.55
11-01-2013,521
14-01-2013,502.68
15-01-2013,498.3
16-01-2013,494.64
17-01-2013,510.31
18-01-2013,498.516
22-01-2013,504.56
23-01-2013,508.81
24-01-2013,460
25-01-2013,451.69
28-01-2013,437.825
29-01-2013,458.5
30-01-2013,457
31-01-2013,456.98
01-02-2013,459.11
04-02-2013,453.91
05-02-2013,444.05
06-02-2013,456.47
07-02-2013,463.25
08-02-2013,474
11-02-2013,476.5
12-02-2013,479.51
13-02-2013,467.21
14-02-2013,464.5199
15-02-2013,468.85
19-02-2013,461.1
20-02-2013,457.69
21-02-2013,446
22-02-2013,449.25
25-02-2013,453.85
26-02-2013,443.82
27-02-2013,448.43
28-02-2013,444.05
01-03-2013,438
04-03-2013,427.8
05-03-2013,421.48
06-03-2013,434.51
07-03-2013,424.5
08-03-2013,429.8
11-03-2013,429.7499
12-03-2013,435.6
13-03-2013,428.45
14-03-2013,432.83
15-03-2013,437.93
18-03-2013,441.45
19-03-2013,459.5
20-03-2013,457.42
21-03-2013,450.22
22-03-2013,454.58
25-03-2013,464.69
26-03-2013,465.44
27-03-2013,456.46
28-03-2013,449.82
01-04-2013,441.9
02-04-2013,427.6
03-04-2013,431.37
04-04-2013,433.76
05-04-2013,424.5
08-04-2013,424.85
09-04-2013,426.36
10-04-2013,428.1
11-04-2013,433.72
12-04-2013,434.15
15-04-2013,427
16-04-2013,421.57
17-04-2013,420.27
18-04-2013,404.99
19-04-2013,387.97
22-04-2013,392.64
23-04-2013,403.99
24-04-2013,393.54
25-04-2013,411.225
26-04-2013,409.81
29-04-2013,420.45
30-04-2013,435.1
01-05-2013,444.46
02-05-2013,441.78
03-05-2013,451.31
06-05-2013,455.71
07-05-2013,464.97
08-05-2013,459.04
09-05-2013,459.81
10-05-2013,457.97
13-05-2013,451.51
14-05-2013,453.85
15-05-2013,439.16
16-05-2013,423.24
17-05-2013,439.05
20-05-2013,431.91
21-05-2013,438.15
22-05-2013,444.05
23-05-2013,435.95
24-05-2013,440.85
28-05-2013,449.9
29-05-2013,440
30-05-2013,445.65
31-05-2013,452.5
03-06-2013,450.73
04-06-2013,453.22
05-06-2013,445.65
06-06-2013,445.47
07-06-2013,436.5
10-06-2013,444.73
11-06-2013,435.74
12-06-2013,439.5
13-06-2013,432.5
14-06-2013,435.4
17-06-2013,431.44
18-06-2013,431.56
19-06-2013,431.4
20-06-2013,419.3
21-06-2013,418.49
24-06-2013,407.4
25-06-2013,405.7
26-06-2013,403.9
27-06-2013,399.25
28-06-2013,391.36
01-07-2013,402.69
02-07-2013,409.96
03-07-2013,420.86
05-07-2013,420.39
08-07-2013,420.11
09-07-2013,413.6
10-07-2013,419.6
11-07-2013,422.95
12-07-2013,427.65
15-07-2013,425.01
16-07-2013,426.52
17-07-2013,429.7
18-07-2013,433.38
19-07-2013,433.1
22-07-2013,429.46
23-07-2013,426
24-07-2013,438.93
25-07-2013,440.7
26-07-2013,435.3
29-07-2013,440.8
30-07-2013,449.96
31-07-2013,454.99
01-08-2013,455.7527
02-08-2013,458.01
05-08-2013,464.69
06-08-2013,468.02
07-08-2013,463.8
08-08-2013,463.855
09-08-2013,458.64
12-08-2013,456.86
13-08-2013,470.94
14-08-2013,497.88
15-08-2013,496.42
16-08-2013,500.15
19-08-2013,504.34
20-08-2013,509.71
21-08-2013,503.59
22-08-2013,504.98
23-08-2013,503.27
26-08-2013,500.75
27-08-2013,498
28-08-2013,486
29-08-2013,491.65
30-08-2013,492
03-09-2013,493.1
04-09-2013,499.56
05-09-2013,500.25
06-09-2013,498.44
09-09-2013,505
10-09-2013,506.2
11-09-2013,467.0101
12-09-2013,468.5
13-09-2013,469.3402
16-09-2013,461
17-09-2013,447.96
18-09-2013,463.18
19-09-2013,470.7
20-09-2013,478
23-09-2013,496.1
24-09-2013,494.88
25-09-2013,489.2
26-09-2013,486
27-09-2013,483.78
30-09-2013,477.25
01-10-2013,478.45
02-10-2013,485.63
03-10-2013,490.51
04-10-2013,483.86
07-10-2013,486.56
08-10-2013,489.94
09-10-2013,484.64
10-10-2013,491.32
11-10-2013,486.99
14-10-2013,489.83
15-10-2013,497.505
16-10-2013,500.79
17-10-2013,499.98
18-10-2013,505.99
21-10-2013,511.77
22-10-2013,526.405
23-10-2013,519
24-10-2013,525
25-10-2013,531.315
28-10-2013,529.04
29-10-2013,536.27
30-10-2013,519.61
31-10-2013,525
01-11-2013,524.02
04-11-2013,521.1
05-11-2013,524.58
06-11-2013,524.15
07-11-2013,519.58
08-11-2013,514.58
11-11-2013,519.99
12-11-2013,517.67
13-11-2013,518
14-11-2013,522.81
15-11-2013,526.58
18-11-2013,524.99
19-11-2013,519.03
20-11-2013,519.23
21-11-2013,517.6
22-11-2013,519.52
25-11-2013,521.02
26-11-2013,524.12
27-11-2013,536.3098
29-11-2013,549.48
02-12-2013,558
03-12-2013,558.3
04-12-2013,565.5
05-12-2013,572.65
06-12-2013,565.79
09-12-2013,560.9001
10-12-2013,563.58
11-12-2013,567
12-12-2013,562.1415
13-12-2013,562.85
16-12-2013,555.02
17-12-2013,555.81
18-12-2013,549.7
19-12-2013,549.5
20-12-2013,545.43
23-12-2013,568
24-12-2013,569.89
26-12-2013,568.1
27-12-2013,563.82
30-12-2013,557.46
31-12-2013,554.17
02-01-2014,555.68
03-01-2014,552.86
06-01-2014,537.45
07-01-2014,544.32
08-01-2014,538.81
09-01-2014,546.8
10-01-2014,539.83
13-01-2014,529.91
14-01-2014,538.22
15-01-2014,553.52
16-01-2014,554.9
